"","comicName","comicSummary","comicGrade"
"1","떴다! 자취생","자취생 토깽이야기","9.27"
"2","숲의 향연","인격이 있는 숲.","9.71"
"3","국제결혼개그만화","한-러커플 개그만화","9.88"
"4","육식 토끼","모순의 성장 드라마","9.78"
"5","좀비 패밀리","(구)신혼좀비","9.87"
"6","AI폰 아리랑","AI폰 아리랑","9.86"
"7","나부활","나는사람을살릴수있다","9.83"
"8","송양 게스트하우스","송양","9.77"
"9","생각보다 잘 자랐습니다","가정폭력 그후10년","9.86"
"10","애포칼립스","좀베창궐 문명파괴","9.17"
"11","러브 햄츄얼리","햄지 연애 성공기","9.74"
"12","원더키퍼","너를 지키는","9.89"
"13","CMYK","의식의 흐름 만화","9.11"
"14","방구석수필","내가 살아온 순간들","9.88"
"15","나의 별에게","감성로맨스","9.89"
"16","소환진이 좀 이상해 보이는 건 기분 탓이겠지","판타지!","9.90"
"17","우리는한팀","어느 가족 이야기","8.95"
"18","공작일보 工作日<U+62A5>","보부장의 상해 살이","9.36"
"19","확진자Z","확진자Z","9.30"
"20","아빠는 N살","아빠 4컷 그림일기","9.90"
"21","산군대잔치","강아지 산군의 일상","9.84"
"22","급식으로 사는 법","리얼 학교생활","9.43"
"23","죽 쑨 만화","아싸 대학생의 일상","9.78"
"24","귀현설(鬼現說)","공포 클리셰를 깨자","9.32"
"25","미줌툰","미국 줌마의 일상","9.89"
"26","모두의 미아씨","미아씨의 매일매일","9.33"
"27","낮잠 자는 사람들","지하창작인밀착일상툰","9.90"
"28","혼자앤피스","인생은 혼자","9.74"
"29","러브 유어 시스터","사랑스럽고수상한남자","9.83"
"30","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"31","찔레꽃  그너머","임진왜란과 서민의삶","9.86"
"32","두남자일기","평범한 동거","9.69"
"33","죽음과 동화","두려움.증오.사랑","9.87"
"34","라이즈(RISE)","너의 마력은 루시퍼","9.56"
"35","너구리네 육아일기","육아일기","9.77"
"36","동글앤토실","19년 묵은 커플","9.88"
"37","86'd","주방 만화","9.87"
"38","디플로마티코","스페이스 오페라","9.72"
"39","실험학교","변형자들의 학교","9.89"
"40","더 리턴","왜 우린 달라?","9.73"
"41","한지붕 새가족","꿀잼 가족 시트콤!","9.69"
"42","직업 : 며느리","결혼하면 겪는 일","9.49"
"43","뭉가툰","뭉가의 일상툰","9.78"
"44","무엇이든 그려드립니닷!","무엇이든그려드립니닷","9.87"
"45","피지 않는 꽃","너, 귀신이 보여?","9.75"
"46","시간과 사연","사남매 이야기","9.78"
"47","나를 죽이는 방법","지워낼수 없는 후회","9.84"
"48","두꺼비집","가출청소년공포스릴러","9.80"
"49","그림자게임","그림자게임 3 시작","9.86"
"50","그리고 이로써 차차","간판 만들어드립니다","8.80"
"51","소라비의 잡화점","#남장여자","9.76"
"52","잔액이 부족합니다","대중교통 일상툰","9.90"
"53","낯가리는 관종","낯가리는 관종일기","9.82"
"54","생산직 툰","생산직 4컷 만화","9.78"
"55","대학원 탈출일지","대학원에서 살아남기","9.90"
"56","젤라 유니버스","안젤라 일대기","9.86"
"57","주름진 사장님","노안 사장님의이야기","9.52"
"58","무선혜드셋 정보툰!!","잡상식을 재미있게","9.88"
"59","몽글툰","백수돼지는 게임중","9.74"
"60","방에 콕! 진댕","방에 콕! 일상툰","9.87"
"61","백온더트랙","서른의 우리에게","9.15"
"62","과학고 생존일지","과학고에 간 문과생","9.77"
"63","체리 블러드","액션X판타지X로맨스","9.52"
"64","꿀꾸리? 꿈꾸리!","중학생 꾸리일기-","8.57"
"65","일상견문록","다른나라 일상이야기","9.84"
"66","곰의 딸","소녀의 모험","9.46"
"67","그들의 사정","얽히고 설킨 그들","9.20"
"68","스물여섯","혼자 할 수 있어!","9.47"
"69","고란툰","고란이의 일상이야기","8.21"
"70","감각의 어빌러티","특이한친구들의능력은","9.88"
"71","함께 할 때까지","곰신바카","9.64"
"72","로그 아일","판타지 생존기","9.65"
"73","30일의 시간여행","응답하라!80-90","9.32"
"74","하루의 하늘","삼각관계 대학생활","9.53"
"75","미용사 : LOST HERO","전직용사현직미용사!","9.72"
"76","봉산코믹스","비극과희극 단편선","9.79"
"77","매그니피센트","위대한 우리들","9.76"
"78","굥이의 하루","굥이의 하루","9.66"
"79","매지컬팡","명랑만화 매지컬팡","9.83"
"80","구나의 그랬구나","어린이집 교사냥이","9.90"
"81","재테크는 스크루지","초보자용 재테크웹툰","9.79"
"82","사쟈툰","사쟈를 그립니다.","8.69"
"83","당할연","당신도할수있다연애","7.80"
"84","지극히 평범한 생활","말만 평범한 일상툰","9.90"
"85","너와 나의 하늘색","웹툰창작 청춘로맨스","9.64"
"86","어둠의 일상툰","어둠의 일상","9.67"
"87","짜이타임","부부 고양이 일상툰","9.86"
"88","타챠노트","프리랜서일기","9.79"
"89","158동 진상부부","부부의 진짜 일상","9.34"
"90","프라이머리 컬러","게임회사 입사꿀팁!","9.76"
"91","집순이에 대하여","집순이들의 일상","9.72"
"92","쿤도덥브라더스","개와 고양이의 동거","9.88"
"93","깜빡깜빡","반짝이의 일상","9.89"
"94","범고래아가씨","달달한 연애생활","9.70"
"95","띵동! 도토리에요","너튜브하는 마법사","9.59"
"96","여긴 불빛이 안 드는 곳이야","학교 로맨스 코미디","9.79"
"97","국밥소녀","국밥에 미친 소녀","8.36"
"98","궁미일기","평범한 일상 육아","9.72"
"99","오늘도 분홍했분홍","일상힐링툰","9.86"
"100","대공녀는 거기에 없었다","가상중세시대물","9.69"
"101","당신의 쓸모","우리는 식물성이야!","9.51"
"102","휴지통","잔부스러기같은 행복","9.87"
"103","니사정 내사정","모든일엔 이유가있다","9.13"
"104","클로버 신드롬","능력자 학교 이야기","9.56"
"105","이데아 프로젝트","능력자 판타지","9.83"
"106","몬스터 커맨더F","몬스터 판타지","9.87"
"107","슬픔을 먹는 남자","성장물,감성,판타지","9.89"
"108","올어바웃 You","귀염뽀짝 국제연애툰","9.83"
"109","생존일지","사람들의 이야기","9.85"
"110","숲속의 성","허기, 혹은 사랑","9.87"
"111","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"112","도곰보와 친구들","이상한 개그물","8.68"
"113","딴 짓이 제일 재밌어","딴 짓 찾아 놀기","9.43"
"114","500원 토끼","500원토끼의 일상","9.71"
"115","계약인싸","계약직 인싸","8.69"
"116","외국 in 한국","영국인의한국생활","9.87"
"117","오픈 오전 11시","홍대 라이프","9.62"
"118","거울 속에 비친 유령","그 집에 얽힌 소문","9.72"
"119","이석의 맨숀","매주 일요일 연재","9.32"
"120","이래봬도0학년","초등학교 이야기!","9.72"
"121","악귀의 메아리","괴의허다 괴의혀~","9.68"
"122","칠흑","심연의 그림자","9.25"
"123","템플러","퇴마물 엑소시스트","9.46"
"124","새벽의 아이","미아들의 생존일지","9.65"
"125","나를 찾아줘","소소한 의사 이야기","8.18"
"126","은하!","정 식 연 재","9.88"
"127","LADS'PARTY","판타지 액션","9.77"
"128","덩키파티","머저리들의 모험담","9.75"
"129","아오링도쿄","도쿄 시트콤","9.88"
"130","열쇠의 용사 카이제루스","합체 준비 됐습니까","9.68"
"131","위닝샷!","청춘 야구 드라마","9.77"
"132","우리 카페 사장님이 이상하다","이상한 카페 알바기","9.90"
"133","포로롱 포롱","수인들의 학교생활","9.86"
"134","소극적 인간","드라마 스릴러","9.65"
"135","우당탕 입큰이","입이 커 슬픈 짐승","9.54"
"136","이세계 국밥 마스터","그 돈이면 국밥먹지","9.56"
"137","눈치없는 내 친구!","청춘 캠퍼스 개그물","9.80"
"138","닐리리맘봉","맘봉이의 하루하루","9.89"
"139","여우자매","구미호 이야기","9.90"
